model,C,val_roc_auc,n_estimators,max_depth,min_samples_leaf,learning_rate
Logistic Regression,0.1,0.7752495677989147,,,,
Logistic Regression,1.0,0.7752584708175239,,,,
Logistic Regression,10.0,0.7752584708175236,,,,
Random Forest,,0.7737952394750133,200.0,10.0,1.0,
Random Forest,,0.7748965833452041,200.0,10.0,2.0,
Random Forest,,0.7756798466414576,200.0,10.0,4.0,
Random Forest,,0.7654677807850196,200.0,14.0,1.0,
Random Forest,,0.7679220799717693,200.0,14.0,2.0,
Random Forest,,0.7731368207806166,200.0,14.0,4.0,
Random Forest,,0.7576176452972637,200.0,20.0,1.0,
Random Forest,,0.7643221241631162,200.0,20.0,2.0,
Random Forest,,0.7718779541834475,200.0,20.0,4.0,
Random Forest,,0.7740846887504695,400.0,10.0,1.0,
Random Forest,,0.7748214135403582,400.0,10.0,2.0,
Random Forest,,0.7764509694577899,400.0,10.0,4.0,
Random Forest,,0.7668606985146527,400.0,14.0,1.0,
Random Forest,,0.7679984638246072,400.0,14.0,2.0,
Random Forest,,0.7741504496833763,400.0,14.0,4.0,
Random Forest,,0.7603258828556997,400.0,20.0,1.0,
Random Forest,,0.7662526628119294,400.0,20.0,2.0,
Random Forest,,0.7738592805065979,400.0,20.0,4.0,
Gradient Boosting,,0.7854675015539814,200.0,3.0,,0.03
Gradient Boosting,,0.7869683683842479,200.0,4.0,,0.03
Gradient Boosting,,0.7866858492994133,200.0,5.0,,0.03
Gradient Boosting,,0.7889135767796325,200.0,3.0,,0.05
Gradient Boosting,,0.7869339703578042,200.0,4.0,,0.05
Gradient Boosting,,0.7868397804677484,200.0,5.0,,0.05
Gradient Boosting,,0.7879456264325766,200.0,3.0,,0.1
Gradient Boosting,,0.7857913488558811,200.0,4.0,,0.1
Gradient Boosting,,0.7810105796188861,200.0,5.0,,0.1
Gradient Boosting,,0.7884692857998472,350.0,3.0,,0.03
Gradient Boosting,,0.7879726390004014,350.0,4.0,,0.03
Gradient Boosting,,0.7867226754218413,350.0,5.0,,0.03
Gradient Boosting,,0.7892672188426724,350.0,3.0,,0.05
Gradient Boosting,,0.7856789482459435,350.0,4.0,,0.05
Gradient Boosting,,0.7850193155035547,350.0,5.0,,0.05
Gradient Boosting,,0.7871112213646546,350.0,3.0,,0.1
Gradient Boosting,,0.7812859155864338,350.0,4.0,,0.1
Gradient Boosting,,0.7775675900985483,350.0,5.0,,0.1
